date,hits,keyword,geo,gprop,category
2018-01-07T05:00:00Z,42,"""juice laundry""",US,web,0
2018-01-14T05:00:00Z,42,"""juice laundry""",US,web,0
2018-01-21T05:00:00Z,82,"""juice laundry""",US,web,0
2018-01-28T05:00:00Z,41,"""juice laundry""",US,web,0
2018-02-04T05:00:00Z,0,"""juice laundry""",US,web,0
2018-02-11T05:00:00Z,82,"""juice laundry""",US,web,0
2018-02-18T05:00:00Z,14,"""juice laundry""",US,web,0
2018-02-25T05:00:00Z,68,"""juice laundry""",US,web,0
2018-03-04T05:00:00Z,27,"""juice laundry""",US,web,0
2018-03-11T05:00:00Z,27,"""juice laundry""",US,web,0
2018-03-18T04:00:00Z,27,"""juice laundry""",US,web,0
2018-03-25T04:00:00Z,100,"""juice laundry""",US,web,0
2018-04-01T04:00:00Z,43,"""juice laundry""",US,web,0
2018-04-08T04:00:00Z,27,"""juice laundry""",US,web,0
2018-04-15T04:00:00Z,55,"""juice laundry""",US,web,0
2018-04-22T04:00:00Z,70,"""juice laundry""",US,web,0
2018-04-29T04:00:00Z,69,"""juice laundry""",US,web,0
2018-05-06T04:00:00Z,70,"""juice laundry""",US,web,0
2018-05-13T04:00:00Z,57,"""juice laundry""",US,web,0
2018-05-20T04:00:00Z,44,"""juice laundry""",US,web,0
2018-05-27T04:00:00Z,44,"""juice laundry""",US,web,0
2018-06-03T04:00:00Z,43,"""juice laundry""",US,web,0
2018-06-10T04:00:00Z,0,"""juice laundry""",US,web,0
2018-06-17T04:00:00Z,44,"""juice laundry""",US,web,0
2018-06-24T04:00:00Z,59,"""juice laundry""",US,web,0
2018-07-01T04:00:00Z,45,"""juice laundry""",US,web,0
2018-07-08T04:00:00Z,43,"""juice laundry""",US,web,0
2018-07-15T04:00:00Z,89,"""juice laundry""",US,web,0
2018-07-22T04:00:00Z,59,"""juice laundry""",US,web,0
2018-07-29T04:00:00Z,59,"""juice laundry""",US,web,0
2018-08-05T04:00:00Z,72,"""juice laundry""",US,web,0
2018-08-12T04:00:00Z,59,"""juice laundry""",US,web,0
2018-08-19T04:00:00Z,29,"""juice laundry""",US,web,0
2018-08-26T04:00:00Z,0,"""juice laundry""",US,web,0
2018-09-02T04:00:00Z,57,"""juice laundry""",US,web,0
2018-09-09T04:00:00Z,27,"""juice laundry""",US,web,0
2018-09-16T04:00:00Z,42,"""juice laundry""",US,web,0
2018-09-23T04:00:00Z,28,"""juice laundry""",US,web,0
2018-09-30T04:00:00Z,42,"""juice laundry""",US,web,0
2018-10-07T04:00:00Z,0,"""juice laundry""",US,web,0
2018-10-14T04:00:00Z,14,"""juice laundry""",US,web,0
2018-10-21T04:00:00Z,0,"""juice laundry""",US,web,0
2018-10-28T04:00:00Z,43,"""juice laundry""",US,web,0
2018-11-04T04:00:00Z,67,"""juice laundry""",US,web,0
2018-11-11T05:00:00Z,28,"""juice laundry""",US,web,0
2018-11-18T05:00:00Z,0,"""juice laundry""",US,web,0
2018-11-25T05:00:00Z,14,"""juice laundry""",US,web,0
2018-12-02T05:00:00Z,27,"""juice laundry""",US,web,0
2018-12-09T05:00:00Z,70,"""juice laundry""",US,web,0
2018-12-16T05:00:00Z,14,"""juice laundry""",US,web,0
2018-12-23T05:00:00Z,16,"""juice laundry""",US,web,0
2018-12-30T05:00:00Z,30,"""juice laundry""",US,web,0
